title,company,location,salary,skills
Data Entry Clerk,Kellogg,Beirut,$58K-$102K,Office management Administrative tasks Communication and organization
IT Support Specialist,Avnet,Castries,$60K-$124K,"Desktop hardware and software troubleshooting Operating system expertise (e.g., Windows, macOS) Remote desktop support Hardware and software upgrades Customer service skills"
Software Tester,"Facebook, Inc. (now Meta Platforms, Inc.)",Amsterdam,$59K-$102K,"Quality assurance processes Testing methodologies (e.g., manual, automated) Bug tracking and reporting Test case development Regression testing"
IT Manager,NextEra Energy,Brasilia,$64K-$86K,Strategic IT planning Leadership and management Budgeting and financial management IT governance and compliance Vendor management Cybersecurity and risk management Project management Cloud computing Network infrastructure Enterprise software systems
Network Engineer,Jabil,Rome,$57K-$116K,"Network management Troubleshooting Network security IT certifications (e.g., CCNA)"
Web Developer,Havells India,Mbabane,$56K-$101K,"Server-side programming (e.g., Node.js, Python) Database management (e.g., SQL, MongoDB)"
IT Administrator,Sysco,Victoria,$64K-$116K,System administration Network administration Troubleshooting Security management Server maintenance Backup and recovery
Network Engineer,Croda International,Moscow,$59K-$130K,"Network management Troubleshooting Network security IT certifications (e.g., CCNA)"
Purchasing Agent,Lam Research,Oranjestad,$62K-$111K,Negotiation skills Vendor management Supply chain knowledge Contract management Analytical skills
Network Security Specialist,ICICI Bank,Asmara,$64K-$106K,"SOC operations Security incident response Threat detection Log analysis Security tools (e.g., IDS/IPS) Security alerts triage"
Executive Assistant,Fiserv,Valletta,$59K-$122K,Organizational and time management skills Calendar and appointment management Communication and correspondence Travel coordination Discretion and confidentiality
HR Generalist,Magellan Financial Group,Bucharest,$65K-$103K,Human resources Recruitment Employee onboarding HRIS (HR Information Systems) Record keeping Communication skills
UX Researcher,Old Republic International,Juba,$58K-$109K,Usability evaluation User interface assessment Usability testing tools and techniques
Physical Therapist,Farmers Insurance Exchange,Brazzaville,$62K-$123K,Geriatric rehabilitation Fall prevention Elderly patient care
Marketing Director,Eli Lilly,Nairobi,$56K-$117K,Brand strategy Brand development Creative direction Brand management Market research
Public Relations Specialist,WPP plc,Papeete,$60K-$125K,Crisis communication planning Crisis response Media relations Reputation management Stakeholder communication
Electrical Engineer,Scottish Mortgage Investment Trust,Seoul,$61K-$81K,Control system design PLC programming Automation Instrumentation System integration
Software Tester,ZTE Corporation,Bamako,$65K-$108K,"Performance testing methodologies Load testing tools (e.g., JMeter) Test script development Performance profiling and analysis Bottleneck identification"
Chemical Analyst,Watsco,Amman,$60K-$85K,Quality control Quality assurance QC testing methods Compliance standards Root cause analysis Documentation Statistical analysis
Interior Designer,Peter Kiewit Sons,Saint George's,$64K-$114K,"Hospitality interior design Hotel and restaurant design Branding and theme integration FF&E (furniture, fixtures, and equipment) selection Customer experience design"
Software Engineer,Halliburton,Noumea,$65K-$114K,"Proficiency in HTML, CSS, and JavaScript Experience with frontend frameworks like React, Angular, or Vue.js Responsive web design Cross-browser compatibility Version control (e.g., Git) Frontend performance optimization"
Network Administrator,Franklin Resources,Castries,$63K-$114K,Network security protocols Intrusion detection and prevention Security incident response Firewall administration Vulnerability assessment Security policies and procedures Log analysis Ethical hacking Problem-solving Communication skills Attention to detail
Legal Advisor,Boeing,Bamako,$61K-$123K,In-house counsel Legal advisory Employment law Intellectual property Regulatory compliance Dispute resolution Contract review Client counseling
Network Engineer,Baidu,Andorra la Vella,$58K-$115K,"Network management Troubleshooting Network security IT certifications (e.g., CCNA)"
Software Tester,Reynolds American Inc.,Copenhagen,$56K-$118K,"Test automation tools (e.g., Selenium, Appium) Scripting languages (e.g., Python, Java) Test framework development Continuous integration tools Test data management"
Mechanical Engineer,China Pacific Insurance,"Malabo (de jure),",$58K-$95K,"Mechanical engineering CAD software (e.g., SolidWorks, AutoCAD) Finite element analysis Product development Prototyping"
Database Administrator,TravelCenters of America,Kingstown,$64K-$129K,Database security measures Data encryption and access control Security compliance Vulnerability assessment Database auditing and monitoring
Project Manager,ON Semiconductor,Kigali,$60K-$115K,"Agile methodologies Scrum or Kanban Team collaboration Agile tools (e.g., Jira)"
Landscape Designer,Smith & Nephew,Ashgabat,$57K-$95K,Landscape architecture Site planning Plant selection Environmental sustainability AutoCAD Project management
Office Manager,"Dunkin'Brands Group, Inc.",Victoria,$62K-$98K,Facilities management Property maintenance Space planning Budget management Health and safety compliance Vendor management
Mechanical Engineer,BYD Company,Jerusalem,$62K-$129K,"Mechanical engineering CAD software (e.g., SolidWorks, AutoCAD) Finite element analysis Product development Prototyping"
Marketing Director,China National Chemical Corporation (ChemChina),Georgetown,$62K-$97K,Brand strategy Brand development Creative direction Brand management Market research
Family Nurse Practitioner,Admiral Group,Rome,$60K-$114K,Geriatric healthcare Geriatric assessment Geriatric treatment Elderly patient care Geriatric pharmacology
Technical Writer,Chipotle Mexican Grill,Brazzaville,$61K-$126K,Instructional design eLearning tools Curriculum development Multimedia design Learning theory knowledge
Aerospace Engineer,Cochlear Limited,Islamabad,$60K-$107K,Systems engineering System architecture Integration testing Troubleshooting Technical documentation Configuration management
HR Manager,Gap,Tunis,$56K-$119K,Training and development Performance management Learning programs Employee engagement Coaching and mentoring
Research Scientist,Halma,Libreville,$59K-$90K,Data collection and analysis Market research tools and techniques Survey design and analysis Qualitative and quantitative research methods Report writing and presentation skills
Event Planner,William Hill plc,Tarawa,$56K-$99K,Wedding planning Venue selection Catering and menu planning Floral and decor design Wedding etiquette
Aerospace Engineer,Aviva,Port of Spain,$60K-$125K,"Aerospace engineering CAD software (e.g., AutoCAD) Aerodynamics Structural analysis Aircraft systems Safety regulations"
QA Analyst,Jabil,Naypyidaw,$62K-$89K,"Software quality assurance Test planning Test case design Test execution Defect tracking Test automation (e.g., Selenium)"
Procurement Coordinator,Visa,Bridgetown,$57K-$89K,Procurement Supplier management Negotiation Supply chain management Inventory control Vendor relations
Graphic Designer,Mutual of Omaha Insurance,Bucharest,$60K-$98K,"Graphic design tools (e.g., Adobe Creative Suite) Web design principles User interface (UI) design Visual communication Typography Creativity and artistic skills"
Mechanical Engineer,Regeneron Pharmaceuticals,Nassau,$65K-$99K,"Mechanical engineering CAD software (e.g., SolidWorks, AutoCAD) Finite element analysis Product development Prototyping"
Financial Advisor,Bajaj Finance,Pristina,$63K-$105K,Retirement planning Social security Investment products Tax planning Estate planning
Project Manager,AutoNation,City of Port Louis,$63K-$107K,Project management Team leadership Risk management Budgeting Communication skills
HR Manager,Tata Motors,Dodoma,$56K-$115K,Employment law knowledge Compliance management Auditing skills Employee relations Communication skills
Occupational Therapist,Oil Search,Brussels,$58K-$83K,Pediatric assessment and evaluation Occupational therapy techniques for children Developmental milestones Sensory integration therapy Pediatric psychology Family-centered care Individualized treatment plans Communication skills Pediatric healthcare knowledge
Art Teacher,Xcel Energy,BogotÃ¡,$62K-$130K,Art instruction Classroom management Art techniques Lesson planning Student assessment
Mechanical Designer,Publix Super Markets,Bamako,$55K-$91K,"Product design principles Prototyping and wireframing User research User testing UI/UX design 3D modeling (if applicable) Collaboration Problem-solving Creativity Attention to detail Communication skills Software proficiency (e.g., Sketch, Adobe XD)"
Network Engineer,Synchrony Financial,Bamako,$56K-$105K,Network security protocols and technologies Firewalls and intrusion detection systems Vulnerability assessment and penetration testing Security policy development and enforcement Incident response and recovery
